"Unfortunately %1 is no longer available.","Helaas is %1 niet meer beschikbaar."
"%1 of %2 is not available. The maximum quantity of %3 has instead been applied.","%1 van %2 is niet beschikbaar. In plaats daarvan is de maximumhoeveelheid van %3 toegepast."
"Only %1 of %2 cannot be ordered. The minimum quantity of %3 has instead been applied.","Slechts %1 van %2 kan niet worden besteld. In plaats daarvan is de minimumhoeveelheid van %3 toegepast."
